Population et migration,,,,,,,
Espérance de vie à la naissance (e0),,,,,,,
2000-2009,,,,,,,
Définition,"Nombre moyen d'années qu'un groupe d'individus pourrait s'attendre à vivre à un âge donné s'il encourt les risques de mourir observés à chaque âge au cours de l'année (ou des années) de référence (l'Espérance de vie par sexe à la naissance et à 60 ans se trouvent dans le fichier de données). Le calcul se fait sur plusieurs années afin d'avoir une estimation plus stable. Note: Les espérances de vie de l'entité peuvent être influencées par la présence ou l'absence de maison de repos sur le territoire de l'entité. Bien que le calcul intègre l'ensemble des décès observés sur la période retenue, l'impact de quelques décès sur l'espérance de vie reste plus important dans une entité peu peuplée. Il convient donc d'interpréter avec prudence le classement des entités selon leurs espérances de vie.",,,,,,
Mise à jour,21/05/2015,Calculs DEMO-UCL,,,,,
,,,,,,,
Sources,Cytise (DEMO-UCL),,,,,,
,Registre national,,,,,,
,SPF économie - DG Statistique/Statistics Belgium,,,,,,
,,,,,,,
Code INS,Entités administratives,e0 (ans),e60 (ans),e0 hommes (ans),e60 hommes (ans),e0 femmes (ans),e60 femmes (ans)
56022,Erquelinnes,"78,5","23,4","74,3","20,4","83,0","26,1"
56029,Froidchapelle,"77,8","22,7","75,0","20,4","80,7","25,0"
56044,Lobbes,"80,5","23,9","77,2","20,8","83,8","26,6"
56049,Merbes-le-Château,"79,5","23,5","75,5","20,2","83,8","26,8"
56051,Momignies,"77,5","22,5","72,9","19,3","82,8","25,7"
56078,Thuin,"80,7","24,3","77,1","21,7","84,3","26,6"
56085,Estinnes,"79,0","22,7","76,1","20,4","81,9","24,8"
56086,Ham-sur-Heure-Nalinnes,"81,4","24,4","78,8","22,4","83,8","26,2"
56087,Morlanwelz,"78,6","22,5","75,2","20,0","81,8","24,6"
56088,Sivry-Rance,"79,1","23,3","76,4","21,3","81,8","25,2"
57000,Arrondissement de Tournai,"79,4","23,6","75,7","20,8","83,1","26,1"
57003,Antoing,"79,6","23,2","75,4","20,3","84,0","25,8"
57018,Celles,"78,7","22,2","75,6","19,4","82,1","25,0"
57027,Estaimpuis,"79,6","23,7","76,2","21,0","82,9","26,2"
57062,Pecq,"79,3","23,7","75,9","21,0","82,8","26,3"
57064,Péruwelz,"79,0","23,4","74,9","20,4","83,2","26,0"
57072,Rumes,"79,6","23,0","75,4","20,0","84,0","25,8"
57081,Tournai,"79,3","23,7","75,6","20,9","83,0","26,1"
57093,Brunehaut,"80,3","23,6","77,5","20,8","83,0","26,1"
57094,Leuze-en-Hainaut,"79,7","24,1","75,7","21,1","83,7","26,8"
57095,Mont-de-l'Enclus,"78,8","23,6","75,2","21,1","82,5","25,9"
60000,Province de Liège,"80,0","23,7","76,9","21,3","83,0","25,7"
61000,Arrondissement de Huy,"79,6","23,3","76,4","21,1","82,6","25,3"
61003,Amay,"78,4","22,5","75,6","20,8","81,2","23,9"
61010,Burdinne,"81,0","23,6","78,1","21,3","83,9","25,6"
61012,Clavier,"79,2","23,6","75,6","21,5","82,9","25,4"
61019,Ferrières,"81,6","23,9","78,4","21,4","84,8","26,3"
61024,Hamoir,"80,5","24,1","77,0","22,0","84,1","26,0"
61028,Héron,"80,9","24,1","77,2","21,6","84,5","26,3"
61031,Huy,"78,4","23,1","74,9","20,5","81,7","25,3"
61039,Marchin,"80,6","24,3","77,6","22,8","83,7","25,6"
61041,Modave,"81,1","24,2","77,8","22,4","84,9","26,2"
